timestamp,signal,label
0.000000,0.01218868,normal
0.000625,0.13478710,normal
0.001250,0.36713371,normal
0.001875,0.50630647,normal
0.002500,0.48345330,normal
0.003125,0.55880910,normal
0.003750,0.62244797,normal
0.004375,0.57298595,normal
0.005000,0.52293903,normal
0.005625,0.40618181,normal
0.006250,0.37943998,normal
0.006875,0.27333030,normal
0.007500,0.14102860,normal
0.008125,0.07965035,normal
0.008750,-0.05043894,normal
0.009375,-0.20741321,normal
0.010000,-0.26183659,normal
0.010625,-0.41558382,normal
0.011250,-0.43474454,normal
0.011875,-0.54909974,normal
0.012500,-0.60739452,normal
0.013125,-0.64697838,normal
0.013750,-0.55042362,normal
0.014375,-0.54143983,normal
0.015000,-0.44588879,normal
0.015625,-0.30026394,normal
0.016250,-0.09728967,normal
0.016875,0.07420798,normal
0.017500,0.24894232,normal
0.018125,0.40201250,normal
0.018750,0.58993000,normal
0.019375,0.56660801,normal
0.020000,0.59716702,normal
0.020625,0.57811427,normal
0.021250,0.59253085,normal
0.021875,0.54291809,normal
0.022500,0.40476778,normal
0.023125,0.27704751,normal
0.023750,0.17469369,normal
0.024375,0.12977169,normal
0.025000,0.02973017,normal
0.025625,-0.08202181,normal
0.026250,-0.23429333,normal
0.026875,-0.30136731,normal
0.027500,-0.40465823,normal
0.028125,-0.48901165,normal
0.028750,-0.53303450,normal
0.029375,-0.60172135,normal
0.030000,-0.59050018,normal
0.030625,-0.58016145,normal
0.031250,-0.49269930,normal
0.031875,-0.35952812,normal
0.032500,-0.29071924,normal
0.033125,-0.07237706,normal
0.033750,0.09976713,normal
0.034375,0.26062348,normal
0.035000,0.41774997,normal
0.035625,0.59505630,normal
0.036250,0.56469202,normal
0.036875,0.65847230,normal
0.037500,0.53268522,normal
0.038125,0.53370732,normal
0.038750,0.47639269,normal
0.039375,0.40067741,normal
0.040000,0.30503568,normal
0.040625,0.20477541,normal
0.041250,0.05519032,normal
0.041875,-0.05305477,normal
0.042500,-0.10406834,normal
0.043125,-0.24987079,normal
0.043750,-0.39529151,normal
0.044375,-0.48563507,normal
0.045000,-0.56038916,normal
0.045625,-0.56574923,normal
0.046250,-0.61163735,normal
0.046875,-0.58327687,normal
0.047500,-0.57858485,normal
0.048125,-0.46234232,normal
0.048750,-0.31209204,normal
0.049375,-0.18876033,normal
0.050000,0.01827101,normal
0.050625,0.14990942,normal
0.051250,0.32259351,normal
0.051875,0.45341438,normal
0.052500,0.51366115,normal
0.053125,0.63037515,normal
0.053750,0.59855825,normal
0.054375,0.58613539,normal
0.055000,0.54284096,normal
0.055625,0.45816481,normal
0.056250,0.37087947,normal
0.056875,0.23827919,normal
0.057500,0.12145545,normal
0.058125,0.03137197,normal
0.058750,-0.13663270,normal
0.059375,-0.23092602,normal
0.060000,-0.32949463,normal
0.060625,-0.41711837,normal
0.061250,-0.45389158,normal
0.061875,-0.58332187,normal
0.062500,-0.61512649,normal
0.063125,-0.56777203,normal
0.063750,-0.61357582,normal
0.064375,-0.50575805,normal
0.065000,-0.46610039,normal
0.065625,-0.29439610,normal
0.066250,-0.15658292,normal
0.066875,0.04602889,normal
0.067500,0.26604533,normal
0.068125,0.31568685,normal
0.068750,0.52164102,normal
0.069375,0.59237403,normal
0.070000,0.59389073,normal
0.070625,0.55282283,normal
0.071250,0.57077682,normal
0.071875,0.47657946,normal
0.072500,0.41863272,normal
0.073125,0.31152785,normal
0.073750,0.27174410,normal
0.074375,0.09417375,normal
0.075000,-0.04093990,normal
0.075625,-0.09657695,normal
0.076250,-0.19887307,normal
0.076875,-0.25628626,normal
0.077500,-0.37592122,normal
0.078125,-0.48348433,normal
0.078750,-0.50935954,normal
0.079375,-0.65821570,normal
0.080000,-0.64324677,normal
0.080625,-0.61992764,normal
0.081250,-0.51985645,normal
0.081875,-0.43984711,normal
0.082500,-0.20702697,normal
0.083125,-0.06847912,normal
0.083750,0.05974979,normal
0.084375,0.24555545,normal
0.085000,0.44129622,normal
0.085625,0.56878370,normal
0.086250,0.67919451,normal
0.086875,0.73629570,normal
0.087500,0.61657637,normal
0.088125,0.50752121,normal
0.088750,0.38460070,normal
0.089375,0.38793698,normal
0.090000,0.24406898,normal
0.090625,0.15642722,normal
0.091250,0.04465545,normal
0.091875,-0.04019234,normal
0.092500,-0.09574816,normal
0.093125,-0.23593667,normal
0.093750,-0.35060945,normal
0.094375,-0.48172972,normal
0.095000,-0.59059840,normal
0.095625,-0.60508794,normal
0.096250,-0.61948568,normal
0.096875,-0.54017907,normal
0.097500,-0.55628371,normal
0.098125,-0.42937431,normal
0.098750,-0.35708749,normal
0.099375,-0.22378421,normal
0.100000,-0.03860467,normal
0.100625,0.14737742,normal
0.101250,0.42225444,normal
0.101875,0.43582842,normal
0.102500,0.59503430,normal
0.103125,0.57477915,normal
0.103750,0.65459728,normal
0.104375,0.60103369,normal
0.105000,0.51734555,normal
0.105625,0.43867308,normal
0.106250,0.31807256,normal
0.106875,0.26006150,normal
0.107500,0.12018804,normal
0.108125,-0.01446353,normal
0.108750,-0.12025682,normal
0.109375,-0.16613799,normal
0.110000,-0.21342298,normal
0.110625,-0.37082884,normal
0.111250,-0.47462809,normal
0.111875,-0.53566968,normal
